time,N1,N2,N3,N4,N5
25170,26.3308072642676,20.0874871451935,21.2332428263363,1.05245953622449,4.35946300590594
25180,26.2834129687487,17.4189034270146,24.7085422704955,0.729149127895573,3.69289957025901
25190,18.4501991617524,22.789627324538,27.7386525819628,0.356540992420665,1.65484081710078
25200,15.4387782946633,28.1667959873941,25.1340513084397,0.550260791134102,1.16166029602805
25210,27.4310830583774,15.2335405823931,22.8265693706879,2.27977839664717,4.07843828027148
25220,10.3629444349083,29.8230333432732,27.6540168597295,0.656828118992383,0.735568043876772
25230,23.5205762269678,11.5769951703798,22.0772924476958,5.01033715292374,10.1292862656879
25240,25.7756627248108,3.45543206730676,7.9168657561679,18.6614965579892,17.2300600544469
25250,26.392302961461,2.24253737726486,5.19158675635084,18.5039791903775,20.6379878312232
25260,22.1422402647686,1.08862843956372,4.03011807219467,19.1615531447755,25.8335115328417
25270,12.9654939652886,0.70560336319084,1.22950110015772,28.3857387958764,26.8825790600887
25280,26.9118441326973,5.91821308204551,4.59274803572131,17.296953271286,17.7925914247149
25290,9.81342321067601,1.16396385924049,0.822481753129127,30.6783849352262,25.8103065227879
25300,14.8038776190786,2.85879097301348,3.59051653016268,17.6077586361527,28.7467367006416
25310,25.8145443952768,9.04374380018307,18.2329331160702,5.48618356909798,14.787871158796
25320,13.1148611257238,26.6040265218369,25.7235208483138,1.4518901882552,3.13680146126003
25330,26.1525299357534,17.7836659727354,18.1132055251111,2.56716544712989,8.56629018739215
25340,26.0894372266089,21.0606067761507,19.8409466267838,1.50128911341699,4.85479734462725
25350,26.5944018855411,17.6730111535693,23.3225274601254,1.10221235003201,3.96786654199264
25360,19.5707842771714,21.6954042723944,27.318036480754,0.522937551743386,2.16660557180814
25370,14.754228499085,28.26266942623,25.4700402698707,0.652780559159872,1.18925410857844
25380,27.4074320138056,14.5971135458151,22.1354794291795,3.10190053470193,4.63391133672995
25390,10.8437882284048,30.0296083273461,26.1586747910241,1.01934360443691,0.853576337152817
25400,19.1103861485771,14.9655504502682,25.8751095744355,3.81812461938133,5.85122405924827
25410,25.7641479081347,8.22966798857588,9.83708447634873,17.4178927523651,11.1043941873784
25420,9.33896620319893,1.11198741259689,1.80319965568738,29.5557498504026,26.6173664505054
25430,16.8574438544306,3.65610355102054,12.9556414407656,13.5768742320234,24.2745295487938
25440,19.5342614842251,1.70382869051727,6.10194084872554,22.1180207268991,22.0607461369984
25450,21.4504241535893,1.09657573447584,4.14379629739201,23.5334009964828,21.8476473699073
25460,22.3271249165684,0.907363857816073,2.87572003735412,24.7654941537229,21.2381998387221
25470,26.8852975657047,1.31716726427658,3.36445535121704,19.0593932321051,21.8672706998712
25480,17.773062703451,0.482721310173811,1.63294675168853,22.7353235447306,27.9895854090094
25490,17.1902928556323,1.20844926305941,1.535387997774,27.708349540195,22.8859768060273
25500,21.1971340235753,1.84080418824227,4.27229800613393,17.1092450017629,26.4866743746545
25510,23.7701853063151,22.5488941266114,7.06657950026859,5.67442494534718,9.03329156154362
25520,8.23114248344888,35.5465609261718,16.4847799816833,0.753402213059843,1.61150978226384
25530,2.22056599729108,36.4071416606748,24.1806494257278,0.0912865193666481,0.24901193018883
25540,0.56645753718352,33.6969129119319,31.7650292105639,0.01084276433378,0.0372823358371532
25550,2.50011326573655,17.5201474683382,38.6737009389002,0.194807913409894,1.21703257450301
25560,7.37236676966111,6.0819320016734,28.3277325550871,2.25108426771231,24.4208459357739
25570,25.6371921654147,2.44380434121452,22.9064292595493,0.962623896457651,21.4590373113142
25580,21.5911387748139,25.3887538426821,13.2440009810248,2.99674596912335,5.55893071584575
25590,6.66143678195107,32.9173190507465,25.063297834516,0.381201864245974,0.92741419723677
25600,4.57346636787573,25.9659370476184,33.7001023431872,0.165149936793584,0.665970081333946
25610,14.2182979895978,9.26239046908853,25.6461031649254,2.71070563041512,18.8978725108427
25620,25.3396290674168,18.8565424951404,14.9954954240617,2.25201533474831,9.69424641132373
25630,18.3667037699326,19.9421585673413,27.0870505421338,0.698865747513794,5.27151863150374
25640,20.0959603324071,21.6424341315176,26.2270681976079,0.448784182984463,4.00567807806048
25650,20.706396464451,21.9112057237365,26.6612817907639,0.274998062816449,2.61897187473191
25660,16.3406169963138,25.3667164070872,27.8866134944081,0.171703649357574,1.20697185674668
25670,16.268949062492,27.8867754028189,25.2333117259042,0.268428882623293,1.1176913986209
25680,26.6391193567104,22.6005012296198,19.9965397639878,1.12322469479884,2.48294769046844
25690,15.7348918353924,23.9298351611514,28.8514843671036,0.307666798644604,1.06570455104244
25700,19.8076155940121,26.9638551540612,20.8327596976464,1.54474749726613,1.8254761996795
25710,16.6821651650784,21.1075110558085,28.7379244184094,0.944071936020595,1.96164916416725
